,train,valid,test
0,0.7610062374858895,0.752808988764045,0.7701330532212886
1,0.7708087857639204,0.7567959405581732,0.7662815126050421
2,0.8160051525863181,0.7808988764044944,0.8198529411764706
3,0.8183905583524909,0.8178687930409567,0.8119747899159664
4,0.7697252594832582,0.7350489307720188,0.7650560224089636
5,0.8368544504228361,0.8214932946719825,0.8293067226890757
6,0.8461598675049232,0.8142442914099312,0.8286064425770308
7,0.8430713369533275,0.8175063428778544,0.8089985994397759
8,0.8236090626193046,0.774374773468648,0.8091736694677871
9,0.8596318482568824,0.8251177963030083,0.8308823529411765
10,0.8448318954980787,0.7857919536063791,0.8079481792717087
11,0.8565831431325857,0.8131569409206234,0.8174019607843137
12,0.862250713424465,0.8102573396158028,0.8466386554621849
13,0.8390942873857765,0.8281986226893802,0.8263305322128851
14,0.8586471988991702,0.7975715839072128,0.8272058823529411
15,0.8479726110923427,0.7993838347227257,0.8310574229691877
16,0.8418669611001706,0.8176875679594057,0.8121498599439776
17,0.848170364938243,0.805364262413918,0.8221288515406163
18,0.8242380297125153,0.7669445451250453,0.7913165266106442
19,0.8129578207526181,0.7760057992026096,0.7732843137254902
20,0.8226917045008226,0.7879666545849946,0.7990196078431373
21,0.8516049647201644,0.8151504168176876,0.8396358543417367
22,0.810638332935079,0.8303733236679957,0.7937675070028012
23,0.8598749206924681,0.8204059441826749,0.8100490196078431
24,0.8464249125900536,0.8001087350489308,0.8207282913165266
25,0.8672810768795542,0.8138818412468286,0.8546918767507004
26,0.8563277110816311,0.7999275099673795,0.8445378151260504
27,0.8674911903408233,0.7986589343965205,0.8305322128851541
28,0.8746103287932346,0.8223994200797391,0.8611694677871149
29,0.8751253127669334,0.8314606741573034,0.8576680672268908
30,0.8636075245338365,0.8124320405944183,0.8513655462184874
31,0.856599622619744,0.8294671982602393,0.820203081232493
32,0.8596085023167414,0.8258426966292135,0.8240546218487396
33,0.8541263262553936,0.8298296484233418,0.8312324929971988
34,0.8885698277069618,0.824936571221457,0.8424369747899161
35,0.8884077794165712,0.8332729249728162,0.8639705882352942
36,0.863632243764574,0.8347227256252265,0.8434873949579832
37,0.8748245621262933,0.8359913011960854,0.8651960784313726
38,0.8752132033651112,0.8252990213845597,0.8580182072829132
39,0.8842467089090853,0.8307357738310983,0.8730742296918768
40,0.8797436890430638,0.8146067415730337,0.8580182072829131
41,0.8952302871001321,0.8503080826386372,0.8616946778711485
42,0.8935219135980489,0.8537513591881116,0.8525910364145659
43,0.8738577655463362,0.8510329829648423,0.8293067226890757
44,0.8917709680874731,0.8336353751359189,0.8417366946778712
45,0.8950462661601971,0.853932584269663,0.8497899159663866
46,0.8910513638148914,0.840159478071765,0.8391106442577031
47,0.8984176945746781,0.8426966292134832,0.8552170868347339
48,0.8889612155269728,0.8675244653860095,0.866421568627451
49,0.8959526379539069,0.8530264588619064,0.8545168067226891
50,0.8679938146991533,0.8405219282348677,0.8674719887955182
51,0.9113719447717453,0.8673432403044582,0.8820028011204482
52,0.894698823639275,0.8452337803552011,0.8569677871148459
53,0.8751733779378119,0.8633562885103299,0.8555672268907564
54,0.9032997426453422,0.8479521565784705,0.8578431372549019
55,0.9017479242712633,0.8445088800289962,0.8748249299719888
56,0.8848770492928927,0.8800289960130482,0.8506652661064426
57,0.8883981663823955,0.8590068865530989,0.8686974789915967
58,0.9090606966977853,0.8702428416092788,0.8674719887955182
