
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:0, LP-FT, Best Epoch:4, Best Acc:0.80838
Dataset:bace, Split:random, Fewshot_False_50, Seed:1, LP-FT, Best Epoch:28, Best Acc:0.90336
Dataset:bace, Split:size, Fewshot_False_50, Seed:1, LP-FT, Best Epoch:20, Best Acc:0.68284
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:1, LP-FT, Best Epoch:4, Best Acc:0.80838
Dataset:bace, Split:random, Fewshot_False_50, Seed:2, LP-FT, Best Epoch:31, Best Acc:0.90249
Dataset:bace, Split:size, Fewshot_False_50, Seed:2, LP-FT, Best Epoch:39, Best Acc:0.66725
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:2, LP-FT, Best Epoch:4, Best Acc:0.80838
Dataset:bace, Split:random, Fewshot_False_50, Seed:3, LP-FT, Best Epoch:27, Best Acc:0.89041
Dataset:bace, Split:size, Fewshot_False_50, Seed:3, LP-FT, Best Epoch:20, Best Acc:0.68206
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:3, LP-FT, Best Epoch:4, Best Acc:0.80838
Dataset:bace, Split:random, Fewshot_False_50, Seed:4, LP-FT, Best Epoch:11, Best Acc:0.89426
Dataset:bace, Split:random, Fewshot_False_50, All seed, LP-FT, Best Acc:0.89695, std: 0.00508
Dataset:bace, Split:size, Fewshot_False_50, Seed:4, LP-FT, Best Epoch:20, Best Acc:0.68176
Dataset:bace, Split:size, Fewshot_False_50, All seed, LP-FT, Best Acc:0.67910, std: 0.00594
Dataset:bace, Split:scaffold, Fewshot_False_50, Seed:4, LP-FT, Best Epoch:4, Best Acc:0.80838
Dataset:bace, Split:scaffold, Fewshot_False_50, All seed, LP-FT, Best Acc:0.80838, std: 0.00000
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:6, Best Acc:0.48844
Dataset:bace, Split:size, Fewshot_True_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:87, Best Acc:0.57294
Dataset:bace, Split:random, Fewshot_True_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:63, Best Acc:0.77031
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:6, Best Acc:0.48844
Dataset:bace, Split:random, Fewshot_True_50, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:60, Best Acc:0.76085
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:6, Best Acc:0.48844
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:6, Best Acc:0.48844
Dataset:bace, Split:size, Fewshot_True_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:60, Best Acc:0.57500
Dataset:bace, Split:random, Fewshot_True_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:67, Best Acc:0.76733
Dataset:bace, Split:random, Fewshot_True_50, Seed:1, Reg_feature_map_m1.0_h1.0, Best Epoch:99, Best Acc:0.77153
Dataset:bace, Split:size, Fewshot_True_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:61, Best Acc:0.58578
Dataset:bace, Split:size, Fewshot_True_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.57791, std: 0.00563
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:6, Best Acc:0.48844
Dataset:bace, Split:scaffold, Fewshot_True_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.48844, std: 0.00000
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:6, Best Acc:0.48844
Dataset:bace, Split:scaffold, Fewshot_True_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.48844, std: 0.00000
Dataset:bace, Split:random, Fewshot_True_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:60, Best Acc:0.76978
Dataset:bace, Split:random, Fewshot_True_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.76914, std: 0.00130
Dataset:bace, Split:random, Fewshot_True_50, Seed:2, Reg_feature_map_m1.0_h1.0, Best Epoch:62, Best Acc:0.75490
Dataset:bace, Split:random, Fewshot_True_50, All seed, Reg_feature_map_m1.0_h1.0, Best Acc:0.76243, std: 0.00688
Dataset:bace, Split:size, Fewshot_True_100, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:51, Best Acc:0.61098
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:51, Best Acc:0.69101
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:0, Reg_feature_map_m1.0_h1.0, Best Epoch:51, Best Acc:0.69605
